what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui",1467078126487
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467078127404
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1467078127451
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1467078127452
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467078143058
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467078153861
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.perspectives.showPerspective",1467078153874
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.perspectives.showPerspective",1467078153874
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467078164194
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467078185728
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467078221945
started,bundle,org.eclipse.wst.common.project.facet.ui,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.ui",1467078235399
started,bundle,org.eclipse.wst.web.ui,1.1.500.v201111030500,"org.eclipse.wst.web.ui",1467078235407
started,bundle,org.eclipse.jst.j2ee.web,1.1.502.v201202090300,"org.eclipse.jst.j2ee.web",1467078235710
started,bundle,org.eclipse.jst.common.frameworks,1.1.501.v201201190400,"org.eclipse.jst.common.frameworks",1467078235749
started,bundle,org.eclipse.jst.server.core,1.2.202.v20110419,"org.eclipse.jst.server.core",1467078277992
started,bundle,org.eclipse.jst.server.tomcat.core,1.1.301.v20111010_1242,"org.eclipse.jst.server.tomcat.core",1467078278016
started,bundle,org.eclipse.jst.server.tomcat.ui,1.1.200.v20100418,"org.eclipse.jst.server.tomcat.ui",1467078278060
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467078313927
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.newWizard",1467078313961
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467078317578
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467078453446
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467078461546
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467078464290
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467078464559
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1467078467384
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1467078467384
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1467078467384
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1467078467384
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.103.v201004211805,"org.eclipse.jst.ws.axis2.consumption.ui",1467078467384
